Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
156,157,9275,21,203218010,8867415,117797,1042,203335807,8868457,3,16403315,18254922,1259404,8459483,54945,26714405,1314349,344,7,15,371110,True
157,158,3936,18,74296610,3453289,102670,986,74399280,3454275,3,4404926,15129081,1099800,8289641,52401,23418722,1152201,303,7,14,307564,True
158,159,6510,23,143582376,6040905,109858,1057,143692234,6041962,3,10203099,19442379,1265481,7295515,50023,26737894,1315504,315,7,17,395251,True
159,160,5433,19,103509797,5024233,75676,603,103585473,5024836,2,6891516,15695646,1245106,8384416,51513,24080062,1296619,302,8,16,337468,True
160,161,14162,22,225585083,15753517,147747,1484,225732830,15755001,4,21205506,20268815,1475006,8282225,62358,28551040,1537364,338,8,16,435795,True
161,162,2613,18,65939155,2485981,68973,624,66008128,2486605,2,3373411,15894951,1218981,7727815,53014,23622766,1271995,320,8,16,341753,True
162,163,12705,22,253361131,14002548,119612,1021,253480743,14003569,3,22903616,19249318,1469228,9086073,56524,28335391,1525752,329,8,18,413875,True
163,164,13142,23,247919655,13811448,108468,970,248028123,13812418,3,22685828,17763401,1369272,8869979,64833,26633380,1434105,362,8,17,381926,True
164,165,17409,22,353470712,24399244,158291,1266,353629003,24400510,4,35789843,22826943,1579231,7574749,57783,30401692,1637014,315,8,15,490796,True
165,166,12337,20,207588072,14831697,122345,901,207710417,14832598,3,18568320,15420150,1293804,9782779,63277,25202929,1357081,355,8,17,331545,True
166,167,1805,20,42911056,1558083,67326,686,42978382,1558769,2,1921405,15187159,1213890,8344039,53174,23531198,1267064,308,8,17,326535,True
167,168,17635,24,282109762,24756899,125609,1067,282235371,24757966,3,28697322,19519150,1488775,9252325,60458,28771475,1549233,352,8,17,419676,True
168,169,5119,19,92728359,4564310,106783,881,92835142,4565191,3,6042966,14637464,1234930,9344082,56384,23981546,1291314,348,8,17,314716,True
169,170,3878,20,88116029,3169572,110039,1087,88226068,3170659,3,5196140,14278973,1160861,8176976,48305,22455949,1209166,306,8,17,307009,True
170,171,4565,20,100180506,3804138,101017,1036,100281523,3805174,3,6264943,13505613,1164517,9120203,53796,22625816,1218313,331,8,16,290381,True
171,172,11314,21,225601574,14537254,119590,948,225721164,14538202,3,19560229,19019768,1461017,9231977,60231,28251745,1521248,372,8,17,408939,True
172,173,15569,25,327410270,19718473,105494,1083,327515764,19719556,3,31844934,18211649,1463652,10224353,67517,28436002,1531169,361,8,17,391564,True
173,174,11126,24,234813103,11294205,125675,1059,234938778,11295264,3,20236530,17727712,1332609,8010683,53305,25738395,1385914,324,8,18,381159,True
174,175,7888,19,149916341,9073618,102921,892,150019262,9074510,3,11415183,15373109,1205205,8060498,56605,23433607,1261810,313,8,17,330533,True
175,176,17307,25,330668918,20924253,124802,1078,330793720,20925331,3,33410263,20460643,1585899,10077968,58488,30538611,1644387,349,8,16,439919,True
176,177,16124,23,279278990,22263648,146202,1504,279425192,22265152,4,27507804,21278317,1558706,8807258,61286,30085575,1619992,336,8,16,457500,True
177,178,2822,19,57364344,2344927,106757,1036,57471101,2345963,3,3017100,13212175,1126643,8767667,56887,21979842,1183530,330,8,17,284072,True
178,179,9145,24,164013821,9235692,115389,978,164129210,9236670,3,13171782,17746433,1317606,7821542,59131,25567975,1376737,321,8,17,381562,True
179,180,12539,23,218810667,13713828,114209,1034,218924876,13714862,3,19686813,18377980,1414928,9155060,67620,27533040,1482548,351,8,17,395140,True
180,181,20076,24,359010691,27564392,126887,1068,359137578,27565460,3,38265090,19250532,1457149,9122617,70636,28373149,1527785,375,8,16,413901,True
181,182,10811,24,222066727,10909854,108768,960,222175495,10910814,3,18940868,18193292,1442169,9621053,55526,27814345,1497695,337,8,15,391169,True
182,183,6893,20,149374781,7182349,110991,1068,149485772,7183417,3,10834910,15369184,1219645,8289330,54275,23658514,1273920,320,8,16,330449,True
183,184,7328,22,144097307,8015767,112512,935,144209819,8016702,3,10685427,18345746,1376413,8243435,55312,26589181,1431725,319,8,17,394447,True
184,185,9341,22,188497480,9643477,109966,1106,188607446,9644583,3,15253913,19731791,1416336,7490645,49487,27222436,1465823,309,8,16,424248,True
185,186,6392,21,119940931,6964044,116422,910,120057353,6964954,3,8466742,13469357,1151054,8970037,57221,22439394,1208275,346,8,17,289601,True
186,187,13698,21,217916154,17267780,117608,1057,218033762,17268837,3,20240225,19491501,1517724,9851298,62273,29342799,1579997,364,8,17,419082,True
187,188,1283,17,29828317,978479,76392,648,29904709,979127,2,1181236,12957416,1062256,7778196,54277,20735612,1116533,318,8,16,278594,True
188,189,9145,22,198756316,9530297,119561,942,198875877,9531239,3,15961479,16386225,1311945,9198129,65674,25584354,1377619,355,8,15,352316,True
189,190,24564,24,415411737,34979115,153783,1439,415565520,34980554,4,47611819,21337890,1741252,9786471,68572,31124361,1809824,363,9,16,486833,True
190,191,17600,22,297066022,19307120,104308,1006,297170330,19308126,3,30197432,20012353,1631655,9131459,63004,29143812,1694659,333,9,18,456590,True
191,192,13301,23,211912402,17128712,116902,1018,212029304,17129730,3,19475303,19119849,1566548,8866798,60824,27986647,1627372,341,9,18,436227,True
192,193,23524,23,372984539,28305749,163040,1355,373147579,28307104,4,42089040,19189541,1642868,10249171,68939,29438712,1711807,353,9,18,437817,True
193,194,7748,22,138424739,8273973,102026,1052,138526765,8275025,3,10472481,15632408,1350272,8627233,60381,24259641,1410653,346,9,19,356660,True
194,195,18660,23,328696115,25035253,118989,1074,328815104,25036327,3,34123413,17753657,1472890,8539920,56033,26293577,1528923,342,9,17,405057,True
195,196,18354,23,312024306,21982021,121599,1122,312145905,21983143,3,32200201,16496650,1431458,9227401,64348,25724051,1495806,352,9,17,376378,True
196,197,3983,21,75069974,3959311,107720,1025,75177694,3960336,3,4469787,13897548,1357404,10574067,65575,24471615,1422979,366,9,18,317078,True
197,198,25989,23,425488050,35278121,147013,1486,425635063,35279607,4,49767225,22334488,1770801,9336156,70788,31670644,1841589,378,9,17,509571,True
198,199,15768,24,297884985,16531200,122664,1051,298007649,16532251,3,29106107,17265180,1499540,9760917,71978,27026097,1571518,390,9,17,393912,True
199,200,26059,26,398646542,36856764,164931,1500,398811473,36858264,4,46672652,20975621,1666696,8869835,68762,29845456,1735458,355,9,16,478568,True
200,201,2381,20,51127549,2233676,75279,671,51202828,2234347,2,2529475,12523840,1188164,9093175,68825,21617015,1256989,367,9,16,285737,True
201,202,5227,19,104560874,5711537,112910,1038,104673784,5712575,3,6865426,12344122,1270347,10658532,67215,23002654,1337562,371,9,16,281636,True
202,203,17102,24,349707302,20550617,122936,1119,349830238,20551736,3,35183063,16391100,1455881,9880216,71747,26271316,1527628,389,9,19,373970,True
203,204,11314,23,206849452,14282138,167656,1304,207017108,14283442,4,17934237,15070228,1375903,9626727,60179,24696955,1436082,330,9,18,343834,True
204,205,9638,24,167852315,9345662,103632,975,167955947,9346637,3,13736837,15209563,1322857,8633671,63583,23843234,1386440,329,9,18,347013,True
205,206,24359,23,435081933,33972596,119609,1053,435201542,33973649,3,49716713,20299926,1750220,11033088,71737,31333014,1821957,390,9,16,463151,True
206,207,6575,22,138617650,7382619,122695,1094,138740345,7383713,3,9885085,16378585,1396112,8735845,64246,25114430,1460358,346,9,17,373684,True
207,208,10967,23,201659320,14191593,118422,980,201777742,14192573,3,17289339,16380186,1453928,9602898,56940,25983084,1510868,332,9,16,373721,True
208,209,30000,26,501115805,43933960,147490,1343,501263295,43935303,4,61720989,18580490,1674097,11348577,66223,29929067,1740320,394,9,16,423922,True
209,210,21612,25,358213998,27193948,156919,1361,358370917,27195309,4,39207129,16465983,1494818,10381105,66290,26847088,1561108,363,9,18,375678,True
