Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
90,91,720,18,6636053,190638,74799,501,6710852,191139,2,201259,17098038,254380,7077936,47140,24175974,301520,241,7,14,294812,True
91,92,10728,24,70649241,4429887,82046,548,70731287,4430435,3,4615323,41963235,729542,10011533,66737,51974768,796279,388,7,19,920241,True
92,93,10728,24,59620185,4318302,75726,507,59695911,4318809,2,4499067,66000904,1108413,9714252,64769,75715156,1173182,419,7,20,1339261,True
93,94,10728,24,74613201,4439562,75203,509,74688404,4440071,3,4625403,44354819,887325,10377809,69233,54732628,956558,390,7,19,1086018,True
94,95,6228,22,36224205,1561163,76088,507,36300293,1561670,3,1632513,69050980,897981,9498112,63288,78549092,961269,414,7,21,1164017,True
95,96,6228,22,38454077,1618051,80187,531,38534264,1618582,4,1692001,56260902,793799,8815129,58737,65076031,852536,384,7,20,1029179,True
96,97,6228,22,39795085,1625162,78116,516,39873201,1625678,4,1699437,39658847,612167,8595904,57206,48254751,669373,365,7,19,764799,True
97,98,1248,23,2801607,355511,74025,500,2875632,356011,1,370967,9477637,217457,10603588,70662,20081225,288119,363,7,19,245466,True
98,99,2384,18,17489931,668646,78547,522,17568478,669168,3,706089,40379388,567692,6557783,43708,46937171,611400,246,7,14,758798,True
99,100,2384,18,10536438,596646,74708,503,10611146,597149,2,630057,54998905,701027,6628806,44228,61627711,745255,255,7,14,916384,True
100,101,2384,18,25337208,739146,80624,537,25417832,739683,4,780537,47298098,604481,6625543,44191,53923641,648672,246,7,14,803171,True
101,102,454,17,13957909,284911,32912,315,13990821,285226,1,380131,18962983,763099,5321049,31651,24284032,794750,218,4,15,331347,True
102,103,210,15,6976990,122222,67674,562,7044664,122784,2,144086,15188755,618900,4823089,36033,20011844,654933,209,4,13,265398,True
103,104,585,18,14159221,396132,67407,626,14226628,396758,2,422652,21529282,841214,5319027,37458,26848309,878672,225,4,14,376189,True
104,105,144,14,4043272,77576,32316,328,4075588,77904,1,72778,13415789,570259,5151011,37382,18566800,607641,227,4,14,234419,True
105,106,335,15,10221838,186456,73099,670,10294937,187126,2,249689,16312534,670932,5308027,36650,21620561,707582,226,4,13,285035,True
106,107,387,18,9771253,247913,32272,344,9803525,248257,1,251285,18833855,736303,4549717,28978,23383572,765281,202,4,15,329091,True
107,108,623,18,18037537,440064,64528,583,18102065,440647,2,550807,18845359,766715,5648693,34909,24494052,801624,225,4,13,329292,True
108,109,380,17,12206156,229864,67365,662,12273521,230526,2,311934,16083485,654630,5045912,36878,21129397,691508,227,4,14,281032,True
109,110,129,16,4227746,72061,30903,339,4258649,72400,1,73259,14182934,618343,5722581,33110,19905515,651453,228,4,15,247823,True
110,111,439,15,11500405,245974,66189,575,11566594,246549,2,309525,18656100,734600,4811226,33422,23467326,768022,205,4,12,325985,True
111,112,358,17,10965496,231592,76693,585,11042189,232177,2,274321,15758381,638372,4874198,36876,20632579,675248,229,4,14,275352,True
112,113,486,18,11734107,295377,68604,613,11802711,295990,2,327609,17859616,710282,4714545,28509,22574161,738791,199,4,14,312067,True
